Block Size,Matrix Size,MFLOP
160,96,62010.3
160,97,55245.3
160,127,69568.3
160,128,72504.8
160,129,66712.2
160,191,60411.7
160,192,62432.1
160,229,65301.8
160,255,69085.4
160,256,68217.3
160,257,65688.8
160,319,70674.8
160,320,70736.7
160,321,59606.1
160,417,66448.8
160,479,70808.4
160,480,69737.3
160,511,64131.8
160,512,64073.7
160,639,69649.0
160,640,70636.5
160,767,69556.5
160,768,69449.9
160,769,68262.5
160,1023,66796.8
160,1024,67586.6
160,1025,64868.7
160,1525,67857.5
160,1526,68044.9
160,1527,69735.4
168,31,9660.36
168,32,11134.7
168,96,58692.7
168,97,54315.7
168,127,69741.0
168,128,70458.5
168,129,65330.4
168,191,59199.4
168,192,59454.2
168,229,62928.6
168,255,66523.8
168,256,68372.8
168,257,63937.4
168,319,70483.8
168,320,69868.3
168,321,67197.2
168,417,66595.0
168,479,65784.6
168,480,69083.0
168,511,65035.0
168,512,63993.9
168,639,69922.6
168,640,70266.1
168,767,69611.0
168,768,69824.2
168,769,69964.4
168,1023,65930.1
168,1024,65941.1
168,1025,65578.9
168,1525,67469.6
168,1526,68310.0
168,1527,67758.1
176,31,8682.51
176,32,10034.1
176,96,58248.2
176,97,51718.9
176,127,65243.6
176,128,67803.7
176,129,61491.8
176,191,57330.9
176,192,57510.1
176,229,62816.6
176,255,66927.3
176,256,66452.8
176,257,62893.7
176,319,69600.3
176,320,69851.1
176,321,66781.0
176,417,63121.8
176,479,67806.6
176,480,70370.3
176,511,70862.7
176,512,70890.6
176,639,66467.6
176,640,69379.4
176,767,68089.9
176,768,68021.2
176,769,66228.5
176,1023,67426.5
176,1024,67621.6
176,1025,66185.0
176,1525,67126.4
176,1526,69550.0
176,1527,68312.7
184,31,7782.62
184,32,9626.33
184,96,54243.4
184,97,49925.9
184,127,64806.4
184,128,63926.2
184,129,57625.9
184,191,51612.8
184,192,53623.9
184,229,58730.2
184,255,59583.7
184,256,62203.6
184,257,60289.9
184,319,64564.8
184,320,66097.5
184,321,63732.1
184,417,61255.0
184,479,64178.9
184,480,68098.5
184,511,61404.7
184,512,69069.7
184,639,64605.9
184,640,67182.3
184,767,66114.0
184,768,65789.5
184,769,65579.0
184,1023,66798.3
184,1024,68941.1
184,1025,66566.0
184,1525,66652.3
184,1526,69349.6
184,1527,68891.6
192,31,8369.98
192,32,9035.95
192,96,58593.9
192,97,51520.1
192,127,67640.9
192,128,67696.0
192,129,61588.3
192,191,71579.8
